video_id,title,published_at,duration,view_count,like_count,comment_count
9fv4JDIzOUQ,Le secret du succès de Squeezie,2025-09-29T17:00:13Z,PT40S,130812,4236,18
5sAJR0I1Rpg,Ils ont trouvé la meilleure technique,2025-09-29T10:00:10Z,PT1M28S,157186,6110,32
8Y-sDly6VbE,Freddy pète un câble en plein tournage,2025-09-28T17:00:12Z,PT1M30S,455207,13376,38
sw5eCcBnZhQ,Freddy traumatise des enfants ? 😦,2025-09-28T11:36:19Z,PT1M45S,1402207,45758,284
lQ53145a3cY,"Qui subira la pire épreuve ? (ft Mister V, Freddy Gladieux, Théo Juice)",2025-09-27T16:07:27Z,PT51M45S,7849516,405873,3139
8MAykTq8eNI,Ces 10 youtubeurs s'affrontent pour 100 000 €,2025-09-16T17:00:15Z,PT1M40S,65184,3073,26
hRY8MX7URKk,"0,27% de chance, Maghla est maudite 😳",2025-09-15T17:00:58Z,PT1M43S,208660,10609,54
4w8LfuweNw4,Mastu et Michou se battent dans la vidéo de Squeezie😱,2025-09-14T10:00:16Z,PT1M4S,287059,13893,102
fiqxEb_URX0,QUI RÉUSSIRA À STOPPER LE TRAIN ? (FEAT 10 YOUTUBEURS),2025-09-13T15:20:07Z,PT1H39M31S,12317417,788238,17889
xchP3phTH78,Squeezie se fait attaquer par des chiens😱,2025-07-23T17:01:31Z,PT1M8S,878363,33151,72
2d2caWdw0CY,Essayez de ne pas rire,2025-07-21T17:47:20Z,PT1M13S,627131,20754,48
haBN5Q8GZRo,Ils doivent éviter les lassos dans cette épreuve !,2025-07-20T13:41:19Z,PT1M20S,307461,13792,90
HdjS1tAWsXw,"Qui subira la pire épreuve ? (ft Joyca, Djilsi, Theodort)",2025-07-20T10:00:33Z,PT51M19S,10606768,525591,6559
hV_2UC_6bTU,Ce milliardaire a tout perdu à cause d’un caprice...,2025-07-13T17:11:05Z,PT27M17S,5374888,254614,5733
Fb1Z3cMAlrc,Il organisait des jeux macabres avec ses victimes...,2025-06-29T17:11:34Z,PT32M3S,7475972,343412,4969
NW7MewxiPFM,Mister V détruit la boisson de Squeezie,2025-06-15T16:24:09Z,PT1M9S,1387673,43698,302
LxLvpfKZqVg,Squeezie a fabriqué le plus grand pétard du monde😱,2025-06-15T16:23:59Z,PT1M26S,106614,6257,48
6ElgJ13rygk,Squeezie offre un record du monde à Mister V,2025-06-15T16:23:48Z,PT1M15S,687406,21357,71
JW-gg1X17zQ,"J'ai fait fabriquer des objets GÉANTS et EXTRÊMES (ft Mister V, Freddy Gladieux & Theo Juice)",2025-06-15T16:21:01Z,PT33M49S,7253155,387484,4856
-CE3NR0szlE,Squeezie dénonce la trahison de Amine envers Billy,2025-06-12T17:00:01Z,PT1M9S,125775,4072,25
ry-6yEsfWx4,Des voyantes prédisent l’avenir de Inoxtag et Squeezie,2025-06-11T17:01:10Z,PT1M4S,102141,3381,28
uZH_Qm1b9GQ,Qui est le plus s*xy ?,2025-06-10T17:01:09Z,PT1M28S,127895,3999,38
VmhAcX6zXz4,Squeezie et Inox présidents ?,2025-06-09T15:07:49Z,PT1M3S,109461,4277,21
U2h0hLJ5ZkQ,"Des inconnus nous jugent... #4 (ft Inoxtag, Amine, Pokimane & Tatiana)",2025-06-08T16:02:44Z,PT49M36S,9578299,407554,5180
CFBjZfdWt64,Gotaga connait Squeezie par coeur😂,2025-05-28T16:00:32Z,PT1M8S,131294,4401,24
HsfuV0VI_9o,Qui a ch*é dans le lavabo au GP Explorer 2 ?,2025-05-24T17:57:55Z,PT1M2S,2117813,61367,218
LMKKDfPn9y4,Djilsi et Maxime n’arrivent pas à rester calmes😂,2025-05-21T19:40:40Z,PT1M4S,475684,18938,88
OEyPswn3b8w,Squeezie et Gotaga se hurlent dessus à cause d'une question😭,2025-05-18T17:15:50Z,PT1M8S,414178,11485,32
p5LrBA_YYwI,"Le pire duo va en prison #5 (ft Djilsi, Maxime Biaggi, Gotaga)",2025-05-18T16:37:07Z,PT49M54S,9988711,381581,3272
xMWe3ZEqVSU,Squeezie et SDM vannent un vrai chirurgien,2025-05-09T06:00:47Z,PT49S,723035,22472,50
-vg0Xd5U0mM,Squeezie est CHOQUÉ par son explication 😱,2025-05-08T16:00:01Z,PT1M2S,484423,22046,119
I5-dpT54ZS0,Squeezie et SDM adorent la Mangueuh😂,2025-05-08T04:50:01Z,PT28S,484950,15545,56
-X_HYxEMbLs,Dédicace à Robestine le prof de claquettes😂,2025-05-07T18:58:43Z,PT1M10S,463590,22091,133
qcceKEBeoSo,Ce prof de math fait le PIRE calcul😂,2025-05-05T16:01:24Z,PT1M8S,393904,13923,82
ClF55GE7zPI,QUI EST L'IMPOSTEUR ? (ft Tiakola & SDM),2025-05-04T18:06:59Z,PT54M55S,17128124,680795,11557
CQau_FmoyWE,Ils ont volé 17 000 000 € en faisant n'importe quoi...,2025-04-20T16:25:04Z,PT28M20S,7014112,319465,2408
e0tUoV1yGO0,Qui a le plus de chance d'avoir un casier judiciaire ?,2025-04-17T16:01:03Z,PT1M7S,195684,5291,33
k5IC6qWFN2c,Squeezie est le plus RACISTE ?,2025-04-15T16:01:13Z,PT1M11S,231100,6725,31
FiejS0EkLiA,Le bodycount de Squeezie... 🤣,2025-04-13T16:00:31Z,PT1M18S,319315,8228,38
zSschbRxYc4,"Des inconnus nous jugent #3... (ft Mister V, Seb, Freddy Gladieux, Théo Juice)",2025-04-12T17:22:35Z,PT55M50S,10015809,372890,3437
GfHaYVgOTwA,Squeezie organise le pire date au tribunal,2025-04-01T17:00:24Z,PT1M12S,352621,8579,27
qTvFb_5HDiE,La vérité sur Squeezie... à méditer,2025-04-01T05:00:51Z,PT1M19S,1342105,38589,97
wchPFmaTpa8,"On confronte nos pires haters IRL (ft Maxime Biaggi, Billy, Locklear)",2025-03-30T16:15:13Z,PT51M13S,8501377,356350,4549
kbJmCj9xLNk,Squeezie réalise le rêve de Zack,2025-03-25T17:00:52Z,PT1M9S,153631,8958,72
vUqwSRDN_Do,On a réalisé le rêve de ces enfants 🌈,2025-03-23T17:32:12Z,PT38M39S,5572889,528781,9819
lC6niUlJhQU,Elle a sacrifié sa famille pour briller…,2025-03-12T18:25:46Z,PT27M2S,7662784,399417,4797
UJNcqmNG9xk,La connexion ratée entre Jonathan Cohen et Squeezie,2025-03-03T17:00:38Z,PT1M4S,457711,21309,26
iuUCJIINBAo,Jonathan Cohen core ✨,2025-03-02T17:07:19Z,PT1M2S,256787,18824,35
jZKMyrz3_Is,"Le pire duo finit en prison #4 (ft Jonathan Cohen, Orelsan & Clément Cotentin)",2025-03-02T12:22:45Z,PT46M15S,8852384,388644,3301
4Qo6MK4-QlY,Le vrai salaire de Squeezie ?! 🤯,2025-02-18T17:00:08Z,PT20S,3730386,141667,505
e7Cxt_jqlAI,La vérité sur Gotaga... 😔,2025-02-18T05:00:27Z,PT33S,433841,21334,110
X3OrieJGkWY,le plus grand fantasme de Squeezie 😂,2025-02-16T17:00:38Z,PT1M11S,106693,6727,56
CA7OayTVYe0,Inoxtag prend une Levrette ?,2025-02-15T17:40:58Z,PT27S,1516896,57019,105
U0TMAvoPPL8,"LE PIRE DATE #4 (ft Inoxtag, Amine, Gotaga)",2025-02-14T22:36:18Z,PT58M1S,17456399,667676,9521
rZNWlKFchxM,Il a fabriqué un jetpack et ça a viré au cauchemar...,2025-02-11T18:32:37Z,PT25M2S,5006894,263983,2600
VSpU2tQFT3U,Les tatouages cachés de Joyca et Natoo,2025-02-08T06:00:18Z,PT1M24S,126146,6740,21
GF1HIJ8fsm8,Squeezie est un crado ? 🤢,2025-02-03T18:00:19Z,PT1M5S,218770,14361,105
gUK8F2p-sew,Le mariage de Squeezie,2025-02-02T17:00:44Z,PT1M6S,119822,7368,39
7fwWeHjS7wk,Joyca pète un cable en pleine vidéo 🤣,2025-02-01T15:18:46Z,PT1M,948405,56734,193
VeBmwUr-HH0,"Des inconnus nous jugent #2... (ft Joyca, Maxime Biaggi, Baghera, Natoo)",2025-02-01T10:40:56Z,PT47M8S,9323808,426340,5647
d07LHfKQy8w,Alison et Jérôme draguent les imposteurs,2025-01-01T18:00:24Z,PT1M27S,1097502,54701,99
3foLMekKtWM,Il a arnaqué tous les riches d'Hollywood avec du vin...,2024-12-29T15:10:42Z,PT23M5S,6920051,354664,3365
ooTMKc43JQ8,Le plus grand retournement de situation,2024-12-28T06:00:26Z,PT1M36S,572851,37404,59
xDyROtza1jw,Le mariage de Squeezie,2024-12-26T18:00:38Z,PT1M8S,266776,19931,29
9-DSYNqfVgU,Gotaga live en slip ?,2024-12-24T18:00:09Z,PT50S,1346861,45187,29
h7CXgwT64Zc,Squeezie se moque d'un égyptologue,2024-12-24T06:00:24Z,PT1M1S,156388,8715,21
LZP4pTCtavo,Le père de Léna veut poser en slip,2024-12-23T06:00:10Z,PT1M10S,87904,5854,16
5AhEm7pyc74,QUI EST L'IMPOSTEUR ? (ft Jérôme Commandeur & Alison Wheeler),2024-12-22T17:23:14Z,PT49M14S,12668259,449356,4921
_2nC3WzZ4yw,Squeezie se fait recaler en boîte,2024-12-20T13:03:06Z,PT57S,468722,25970,73
I7H8H_UzTBY,"4 humains vs 1 IA : le perdant va tout perdre... (ft Joyca, Léna, Gotaga)",2024-12-19T17:47:25Z,PT40M58S,7334339,329090,2658
J0Kwl2cGifg,Squeezie fait une blague raciste ?,2024-12-05T17:00:19Z,PT1M24S,288463,14890,58
SEU51qfgbnQ,Le bodycount de Squeezie,2024-12-03T17:00:32Z,PT1M17S,710970,37492,85
ZyDHAUW77_I,Squeezie dévoile son objet le plus cher 😱,2024-12-01T18:00:31Z,PT52S,1356939,86981,165
HqqisGjdPvQ,"Des inconnus nous jugent... (ft Djilsi, Léna, Theodort, Maghla)",2024-11-30T18:25:26Z,PT48M30S,14511588,564589,6415
q0E27MXmvNM,Léon Marchand rencontre Jumbo,2024-11-21T18:00:28Z,PT12S,501319,35620,44
OjPnSe8NBIM,L'ancien prof de Squeezie,2024-11-19T18:00:21Z,PT35S,956821,80692,159
isImFWHMUlE,Léon Marchand se lance sur YouTube ?,2024-11-17T18:00:22Z,PT30S,122937,6628,19
ReH237Zbkzs,Se raser pour nager plus vite ?,2024-11-15T11:00:30Z,PT40S,2707755,134261,112
3DFUYS4mPKA,Léon Marchand et Squeezie en chaussettes (ft Freddy Gladieux & Oscar) - Micro Chaussettes #2,2024-11-14T18:09:34Z,PT1H8M1S,3564344,148357,1806
YSjncCUUGQM,La daronne d'Amine est actrice ?,2024-11-04T09:08:36Z,PT44S,399990,31475,78
SUXEHsBd5zg,Ce pote,2024-11-01T18:47:54Z,PT58S,943599,71560,367
Acxn7x1kBok,72h enfermés dans les catacombes,2024-10-31T18:41:14Z,PT1H23M29S,8748895,409685,7673
qIo4_yAc1kM,Le dérapage de l'imposteur,2024-10-25T17:00:47Z,PT44S,459548,22541,183
Od3u0_5LLxU,Le château d'oignon de Philou,2024-10-22T17:00:19Z,PT55S,4184711,187108,364
c8S13xctIU0,Alain Chabat n'a pas compris le concept,2024-10-20T16:59:51Z,PT19S,4672200,143264,268
x7JnA8ssuqY,QUI EST L'IMPOSTEUR ? (ft Alain Chabat & Adèle Exarchopoulos),2024-10-19T17:15:46Z,PT54M45S,15540044,572695,7979
LyDJTp4nS3w,Il a été kidnappé pendant 7 ans...,2024-10-14T17:10:47Z,PT33M49S,8283435,489004,6328
RLNR8LKTobY,Squeezie parle de sa calvitie,2024-10-10T17:00:21Z,PT1M,961661,44053,255
K8jwL98JIwc,Jonathan Cohen écrase Jumbo,2024-10-08T17:00:14Z,PT48S,1107953,90925,118
NjxCYAGnf-c,Ils se moquent de mes tatouages,2024-10-07T05:00:13Z,PT1M,1711321,82693,182
4ti1h-q_Aqk,Jonathan Cohen présente sa méthode KAIZEN,2024-10-06T15:18:31Z,PT59S,617918,34939,130
KXYJy9Ox4RY,Jonathan Cohen et Squeezie en chaussettes (ft Freddy Gladieux & Jeantou) - Micro Chaussettes #1,2024-10-06T15:15:25Z,PT1H18M57S,6211402,216334,3138
l71oZ62MKd0,Le deepfake de Djilsi,2024-09-27T15:51:25Z,PT51S,408124,22343,39
