video_id,title,published_at,duration,view_count,like_count,comment_count
iuUCJIINBAo,Jonathan Cohen core ✨,2025-03-02T17:07:19Z,PT1M2S,256783,18824,35
jZKMyrz3_Is,"Le pire duo finit en prison #4 (ft Jonathan Cohen, Orelsan & Clément Cotentin)",2025-03-02T12:22:45Z,PT46M15S,8851743,388638,3301
4Qo6MK4-QlY,Le vrai salaire de Squeezie ?! 🤯,2025-02-18T17:00:08Z,PT20S,3730369,141667,505
e7Cxt_jqlAI,La vérité sur Gotaga... 😔,2025-02-18T05:00:27Z,PT33S,433834,21334,110
X3OrieJGkWY,le plus grand fantasme de Squeezie 😂,2025-02-16T17:00:38Z,PT1M11S,106692,6727,56
CA7OayTVYe0,Inoxtag prend une Levrette ?,2025-02-15T17:40:58Z,PT27S,1516867,57018,105
U0TMAvoPPL8,"LE PIRE DATE #4 (ft Inoxtag, Amine, Gotaga)",2025-02-14T22:36:18Z,PT58M1S,17453848,667654,9521
rZNWlKFchxM,Il a fabriqué un jetpack et ça a viré au cauchemar...,2025-02-11T18:32:37Z,PT25M2S,5006685,263982,2600
VSpU2tQFT3U,Les tatouages cachés de Joyca et Natoo,2025-02-08T06:00:18Z,PT1M24S,126142,6740,21
GF1HIJ8fsm8,Squeezie est un crado ? 🤢,2025-02-03T18:00:19Z,PT1M5S,218767,14361,105
gUK8F2p-sew,Le mariage de Squeezie,2025-02-02T17:00:44Z,PT1M6S,119820,7368,39
7fwWeHjS7wk,Joyca pète un cable en pleine vidéo 🤣,2025-02-01T15:18:46Z,PT1M,948124,56723,193
VeBmwUr-HH0,"Des inconnus nous jugent #2... (ft Joyca, Maxime Biaggi, Baghera, Natoo)",2025-02-01T10:40:56Z,PT47M8S,9322547,426311,5647
d07LHfKQy8w,Alison et Jérôme draguent les imposteurs,2025-01-01T18:00:24Z,PT1M27S,1097492,54701,99
3foLMekKtWM,Il a arnaqué tous les riches d'Hollywood avec du vin...,2024-12-29T15:10:42Z,PT23M5S,6919699,354660,3365
ooTMKc43JQ8,Le plus grand retournement de situation,2024-12-28T06:00:26Z,PT1M36S,572849,37404,59
xDyROtza1jw,Le mariage de Squeezie,2024-12-26T18:00:38Z,PT1M8S,266775,19931,29
9-DSYNqfVgU,Gotaga live en slip ?,2024-12-24T18:00:09Z,PT50S,1346851,45186,29
h7CXgwT64Zc,Squeezie se moque d'un égyptologue,2024-12-24T06:00:24Z,PT1M1S,156384,8715,21
LZP4pTCtavo,Le père de Léna veut poser en slip,2024-12-23T06:00:10Z,PT1M10S,87900,5854,16
5AhEm7pyc74,QUI EST L'IMPOSTEUR ? (ft Jérôme Commandeur & Alison Wheeler),2024-12-22T17:23:14Z,PT49M14S,12666877,449351,4921
_2nC3WzZ4yw,Squeezie se fait recaler en boîte,2024-12-20T13:03:06Z,PT57S,468710,25969,73
I7H8H_UzTBY,"4 humains vs 1 IA : le perdant va tout perdre... (ft Joyca, Léna, Gotaga)",2024-12-19T17:47:25Z,PT40M58S,7333565,329078,2658
J0Kwl2cGifg,Squeezie fait une blague raciste ?,2024-12-05T17:00:19Z,PT1M24S,288456,14890,58
SEU51qfgbnQ,Le bodycount de Squeezie,2024-12-03T17:00:32Z,PT1M17S,710968,37492,85
ZyDHAUW77_I,Squeezie dévoile son objet le plus cher 😱,2024-12-01T18:00:31Z,PT52S,1356723,86976,165
HqqisGjdPvQ,"Des inconnus nous jugent... (ft Djilsi, Léna, Theodort, Maghla)",2024-11-30T18:25:26Z,PT48M30S,14509601,564569,6415
q0E27MXmvNM,Léon Marchand rencontre Jumbo,2024-11-21T18:00:28Z,PT12S,501314,35619,44
OjPnSe8NBIM,L'ancien prof de Squeezie,2024-11-19T18:00:21Z,PT35S,956818,80692,159
isImFWHMUlE,Léon Marchand se lance sur YouTube ?,2024-11-17T18:00:22Z,PT30S,122934,6628,19
ReH237Zbkzs,Se raser pour nager plus vite ?,2024-11-15T11:00:30Z,PT40S,2705836,134216,112
3DFUYS4mPKA,Léon Marchand et Squeezie en chaussettes (ft Freddy Gladieux & Oscar) - Micro Chaussettes #2,2024-11-14T18:09:34Z,PT1H8M1S,3564228,148355,1806
YSjncCUUGQM,La daronne d'Amine est actrice ?,2024-11-04T09:08:36Z,PT44S,399981,31475,78
SUXEHsBd5zg,Ce pote,2024-11-01T18:47:54Z,PT58S,943594,71560,367
Acxn7x1kBok,72h enfermés dans les catacombes,2024-10-31T18:41:14Z,PT1H23M29S,8748624,409682,7674
qIo4_yAc1kM,Le dérapage de l'imposteur,2024-10-25T17:00:47Z,PT44S,459547,22541,183
Od3u0_5LLxU,Le château d'oignon de Philou,2024-10-22T17:00:19Z,PT55S,4184514,187103,364
c8S13xctIU0,Alain Chabat n'a pas compris le concept,2024-10-20T16:59:51Z,PT19S,4672194,143264,268
x7JnA8ssuqY,QUI EST L'IMPOSTEUR ? (ft Alain Chabat & Adèle Exarchopoulos),2024-10-19T17:15:46Z,PT54M45S,15538972,572689,7979
LyDJTp4nS3w,Il a été kidnappé pendant 7 ans...,2024-10-14T17:10:47Z,PT33M49S,8283116,488998,6329
RLNR8LKTobY,Squeezie parle de sa calvitie,2024-10-10T17:00:21Z,PT1M,961659,44053,255
K8jwL98JIwc,Jonathan Cohen écrase Jumbo,2024-10-08T17:00:14Z,PT48S,1107950,90924,118
NjxCYAGnf-c,Ils se moquent de mes tatouages,2024-10-07T05:00:13Z,PT1M,1711320,82693,182
4ti1h-q_Aqk,Jonathan Cohen présente sa méthode KAIZEN,2024-10-06T15:18:31Z,PT59S,617918,34939,130
KXYJy9Ox4RY,Jonathan Cohen et Squeezie en chaussettes (ft Freddy Gladieux & Jeantou) - Micro Chaussettes #1,2024-10-06T15:15:25Z,PT1H18M57S,6211231,216333,3138
l71oZ62MKd0,Le deepfake de Djilsi,2024-09-27T15:51:25Z,PT51S,408121,22343,39
afMhlrQwZH4,Maxime pète un câble en plein tournage,2024-09-25T18:08:37Z,PT14S,394361,26216,25
mcMN1dTc-5E,Squeezie invente une insulte pour YouTuber,2024-09-23T09:00:45Z,PT30S,1472718,74607,107
oeJENlvGJpw,"Désactive l'IA ou elle détruira ta vie... (ft Djilsi, Billy & Maxime Biaggi)",2024-09-22T15:29:05Z,PT39M41S,10501567,451812,4025
rZJgx_m07jo,L'imposteur a craqué sous la pression,2024-09-14T17:00:40Z,PT50S,775711,40960,72
sdrZMWfTj4o,La Tour Eiffel algérienne,2024-09-10T17:00:52Z,PT44S,926631,46084,861
jnUoOoUoWoA,Squeezie serait-il raciste ?!,2024-09-08T11:45:04Z,PT51S,1842601,120847,295
K1_LQEuw0L4,QUI EST L'IMPOSTEUR ? (ft Fary & Jean-Pascal Zadi),2024-09-07T17:39:10Z,PT48M45S,14545986,529389,7848
DteuaGMck4k,Cet agent secret français est un énorme mytho,2024-08-03T17:09:50Z,PT26M29S,8470157,380925,4665
yCFUAIVrUAk,Mister V est incontrôlable,2024-07-26T18:00:30Z,PT52S,1270936,70998,134
MuGJZuTL5-w,Freddy est un peu trop direct,2024-07-24T17:00:23Z,PT28S,1902937,82354,196
M2kAY-xlVb0,Squeezie désarme un cambrioleur,2024-07-22T17:18:59Z,PT47S,1225477,85300,163
gBSLrZAR5sE,"LE PIRE DATE #3 (ft Mister V, Freddy Gladieux & Théo Juice)",2024-07-21T12:26:02Z,PT51M1S,17018485,561335,6280
