video_id,title,published_at,duration,view_count,like_count,comment_count
BIcJYE47QKQ,Squeezie l'avait prédit...,2025-10-10T10:53:15Z,PT25S,72409,2619,13
ZLZcox7Pae4,Il n'y avait plus d'argent pour faire cette vidéo...,2025-10-09T16:24:46Z,PT1H6M54S,3365033,247887,4482
9fv4JDIzOUQ,Le secret du succès de Squeezie,2025-09-29T17:00:13Z,PT40S,142419,4712,22
5sAJR0I1Rpg,Ils ont trouvé la meilleure technique,2025-09-29T10:00:10Z,PT1M28S,167014,6477,31
8Y-sDly6VbE,Freddy pète un câble en plein tournage,2025-09-28T17:00:12Z,PT1M30S,467055,13743,39
sw5eCcBnZhQ,Freddy traumatise des enfants ? 😦,2025-09-28T11:36:19Z,PT1M45S,1439470,46293,286
lQ53145a3cY,"Qui subira la pire épreuve ? (ft Mister V, Freddy Gladieux, Théo Juice)",2025-09-27T16:07:27Z,PT51M45S,8041674,410360,3166
8MAykTq8eNI,Ces 10 youtubeurs s'affrontent pour 100 000 €,2025-09-16T17:00:15Z,PT1M40S,66905,3137,26
hRY8MX7URKk,"0,27% de chance, Maghla est maudite 😳",2025-09-15T17:00:58Z,PT1M43S,210976,10714,54
4w8LfuweNw4,Mastu et Michou se battent dans la vidéo de Squeezie😱,2025-09-14T10:00:16Z,PT1M4S,288885,13929,102
fiqxEb_URX0,QUI RÉUSSIRA À STOPPER LE TRAIN ? (FEAT 10 YOUTUBEURS),2025-09-13T15:20:07Z,PT1H39M31S,12405757,790338,17916
xchP3phTH78,Squeezie se fait attaquer par des chiens😱,2025-07-23T17:01:31Z,PT1M8S,882134,33276,72
2d2caWdw0CY,Essayez de ne pas rire,2025-07-21T17:47:20Z,PT1M13S,682540,22140,50
haBN5Q8GZRo,Ils doivent éviter les lassos dans cette épreuve !,2025-07-20T13:41:19Z,PT1M20S,310323,13890,90
HdjS1tAWsXw,"Qui subira la pire épreuve ? (ft Joyca, Djilsi, Theodort)",2025-07-20T10:00:33Z,PT51M19S,10655521,526497,6562
hV_2UC_6bTU,Ce milliardaire a tout perdu à cause d’un caprice...,2025-07-13T17:11:05Z,PT27M17S,5387752,254846,5734
Fb1Z3cMAlrc,Il organisait des jeux macabres avec ses victimes...,2025-06-29T17:11:34Z,PT32M3S,7497179,343710,4970
NW7MewxiPFM,Mister V détruit la boisson de Squeezie,2025-06-15T16:24:09Z,PT1M9S,1390037,43755,302
LxLvpfKZqVg,Squeezie a fabriqué le plus grand pétard du monde😱,2025-06-15T16:23:59Z,PT1M26S,107179,6269,48
6ElgJ13rygk,Squeezie offre un record du monde à Mister V,2025-06-15T16:23:48Z,PT1M15S,688739,21415,71
JW-gg1X17zQ,"J'ai fait fabriquer des objets GÉANTS et EXTRÊMES (ft Mister V, Freddy Gladieux & Theo Juice)",2025-06-15T16:21:01Z,PT33M49S,7274811,387835,4859
-CE3NR0szlE,Squeezie dénonce la trahison de Amine envers Billy,2025-06-12T17:00:01Z,PT1M9S,126398,4088,25
ry-6yEsfWx4,Des voyantes prédisent l’avenir de Inoxtag et Squeezie,2025-06-11T17:01:10Z,PT1M4S,102734,3407,28
uZH_Qm1b9GQ,Qui est le plus s*xy ?,2025-06-10T17:01:09Z,PT1M28S,128342,4010,38
VmhAcX6zXz4,Squeezie et Inox présidents ?,2025-06-09T15:07:49Z,PT1M3S,109957,4300,21
U2h0hLJ5ZkQ,"Des inconnus nous jugent... #4 (ft Inoxtag, Amine, Pokimane & Tatiana)",2025-06-08T16:02:44Z,PT49M36S,9611372,408098,5180
CFBjZfdWt64,Gotaga connait Squeezie par coeur😂,2025-05-28T16:00:32Z,PT1M8S,131677,4413,24
HsfuV0VI_9o,Qui a ch*é dans le lavabo au GP Explorer 2 ?,2025-05-24T17:57:55Z,PT1M2S,2119197,61398,219
LMKKDfPn9y4,Djilsi et Maxime n’arrivent pas à rester calmes😂,2025-05-21T19:40:40Z,PT1M4S,476379,18971,88
OEyPswn3b8w,Squeezie et Gotaga se hurlent dessus à cause d'une question😭,2025-05-18T17:15:50Z,PT1M8S,414400,11491,32
p5LrBA_YYwI,"Le pire duo va en prison #5 (ft Djilsi, Maxime Biaggi, Gotaga)",2025-05-18T16:37:07Z,PT49M54S,10046709,382110,3277
xMWe3ZEqVSU,Squeezie et SDM vannent un vrai chirurgien,2025-05-09T06:00:47Z,PT49S,724048,22512,50
-vg0Xd5U0mM,Squeezie est CHOQUÉ par son explication 😱,2025-05-08T16:00:01Z,PT1M2S,484754,22068,119
I5-dpT54ZS0,Squeezie et SDM adorent la Mangueuh😂,2025-05-08T04:50:01Z,PT28S,485404,15549,56
-X_HYxEMbLs,Dédicace à Robestine le prof de claquettes😂,2025-05-07T18:58:43Z,PT1M10S,463785,22092,132
qcceKEBeoSo,Ce prof de math fait le PIRE calcul😂,2025-05-05T16:01:24Z,PT1M8S,394309,13951,82
ClF55GE7zPI,QUI EST L'IMPOSTEUR ? (ft Tiakola & SDM),2025-05-04T18:06:59Z,PT54M55S,17173560,681142,11558
CQau_FmoyWE,Ils ont volé 17 000 000 € en faisant n'importe quoi...,2025-04-20T16:25:04Z,PT28M20S,7029738,319576,2408
e0tUoV1yGO0,Qui a le plus de chance d'avoir un casier judiciaire ?,2025-04-17T16:01:03Z,PT1M7S,195838,5295,33
k5IC6qWFN2c,Squeezie est le plus RACISTE ?,2025-04-15T16:01:13Z,PT1M11S,231245,6729,31
FiejS0EkLiA,Le bodycount de Squeezie... 🤣,2025-04-13T16:00:31Z,PT1M18S,319525,8240,38
zSschbRxYc4,"Des inconnus nous jugent #3... (ft Mister V, Seb, Freddy Gladieux, Théo Juice)",2025-04-12T17:22:35Z,PT55M50S,10058382,373216,3437
GfHaYVgOTwA,Squeezie organise le pire date au tribunal,2025-04-01T17:00:24Z,PT1M12S,352818,8590,27
qTvFb_5HDiE,La vérité sur Squeezie... à méditer,2025-04-01T05:00:51Z,PT1M19S,1342316,38603,97
wchPFmaTpa8,"On confronte nos pires haters IRL (ft Maxime Biaggi, Billy, Locklear)",2025-03-30T16:15:13Z,PT51M13S,8527478,356602,4550
kbJmCj9xLNk,Squeezie réalise le rêve de Zack,2025-03-25T17:00:52Z,PT1M9S,153924,8979,72
vUqwSRDN_Do,On a réalisé le rêve de ces enfants 🌈,2025-03-23T17:32:12Z,PT38M39S,5575030,528847,9821
lC6niUlJhQU,Elle a sacrifié sa famille pour briller…,2025-03-12T18:25:46Z,PT27M2S,7670165,399521,4797
UJNcqmNG9xk,La connexion ratée entre Jonathan Cohen et Squeezie,2025-03-03T17:00:38Z,PT1M4S,457812,21307,26
iuUCJIINBAo,Jonathan Cohen core ✨,2025-03-02T17:07:19Z,PT1M2S,256956,18831,35
jZKMyrz3_Is,"Le pire duo finit en prison #4 (ft Jonathan Cohen, Orelsan & Clément Cotentin)",2025-03-02T12:22:45Z,PT46M15S,8861052,388738,3302
4Qo6MK4-QlY,Le vrai salaire de Squeezie ?! 🤯,2025-02-18T17:00:08Z,PT20S,3732274,141709,505
e7Cxt_jqlAI,La vérité sur Gotaga... 😔,2025-02-18T05:00:27Z,PT33S,434058,21342,110
X3OrieJGkWY,le plus grand fantasme de Squeezie 😂,2025-02-16T17:00:38Z,PT1M11S,106814,6728,56
CA7OayTVYe0,Inoxtag prend une Levrette ?,2025-02-15T17:40:58Z,PT27S,1517358,57030,105
U0TMAvoPPL8,"LE PIRE DATE #4 (ft Inoxtag, Amine, Gotaga)",2025-02-14T22:36:18Z,PT58M1S,17497843,667964,9524
rZNWlKFchxM,Il a fabriqué un jetpack et ça a viré au cauchemar...,2025-02-11T18:32:37Z,PT25M2S,5010914,264021,2600
VSpU2tQFT3U,Les tatouages cachés de Joyca et Natoo,2025-02-08T06:00:18Z,PT1M24S,126242,6743,21
GF1HIJ8fsm8,Squeezie est un crado ? 🤢,2025-02-03T18:00:19Z,PT1M5S,218857,14360,105
gUK8F2p-sew,Le mariage de Squeezie,2025-02-02T17:00:44Z,PT1M6S,119917,7369,39
7fwWeHjS7wk,Joyca pète un cable en pleine vidéo 🤣,2025-02-01T15:18:46Z,PT1M,952694,56863,193
VeBmwUr-HH0,"Des inconnus nous jugent #2... (ft Joyca, Maxime Biaggi, Baghera, Natoo)",2025-02-01T10:40:56Z,PT47M8S,9341048,426604,5650
d07LHfKQy8w,Alison et Jérôme draguent les imposteurs,2025-01-01T18:00:24Z,PT1M27S,1097617,54701,99
3foLMekKtWM,Il a arnaqué tous les riches d'Hollywood avec du vin...,2024-12-29T15:10:42Z,PT23M5S,6925375,354726,3366
ooTMKc43JQ8,Le plus grand retournement de situation,2024-12-28T06:00:26Z,PT1M36S,572950,37406,59
xDyROtza1jw,Le mariage de Squeezie,2024-12-26T18:00:38Z,PT1M8S,266837,19933,29
9-DSYNqfVgU,Gotaga live en slip ?,2024-12-24T18:00:09Z,PT50S,1348138,45230,29
h7CXgwT64Zc,Squeezie se moque d'un égyptologue,2024-12-24T06:00:24Z,PT1M1S,156467,8717,21
LZP4pTCtavo,Le père de Léna veut poser en slip,2024-12-23T06:00:10Z,PT1M10S,87956,5855,16
5AhEm7pyc74,QUI EST L'IMPOSTEUR ? (ft Jérôme Commandeur & Alison Wheeler),2024-12-22T17:23:14Z,PT49M14S,12689789,449488,4921
_2nC3WzZ4yw,Squeezie se fait recaler en boîte,2024-12-20T13:03:06Z,PT57S,469849,26006,73
I7H8H_UzTBY,"4 humains vs 1 IA : le perdant va tout perdre... (ft Joyca, Léna, Gotaga)",2024-12-19T17:47:25Z,PT40M58S,7345294,329226,2657
J0Kwl2cGifg,Squeezie fait une blague raciste ?,2024-12-05T17:00:19Z,PT1M24S,288632,14890,58
SEU51qfgbnQ,Le bodycount de Squeezie,2024-12-03T17:00:32Z,PT1M17S,711077,37493,85
ZyDHAUW77_I,Squeezie dévoile son objet le plus cher 😱,2024-12-01T18:00:31Z,PT52S,1359980,87070,166
HqqisGjdPvQ,"Des inconnus nous jugent... (ft Djilsi, Léna, Theodort, Maghla)",2024-11-30T18:25:26Z,PT48M30S,14545191,564859,6418
q0E27MXmvNM,Léon Marchand rencontre Jumbo,2024-11-21T18:00:28Z,PT12S,501591,35631,44
OjPnSe8NBIM,L'ancien prof de Squeezie,2024-11-19T18:00:21Z,PT35S,957019,80701,159
isImFWHMUlE,Léon Marchand se lance sur YouTube ?,2024-11-17T18:00:22Z,PT30S,123056,6635,19
ReH237Zbkzs,Se raser pour nager plus vite ?,2024-11-15T11:00:30Z,PT40S,2738012,134821,112
3DFUYS4mPKA,Léon Marchand et Squeezie en chaussettes (ft Freddy Gladieux & Oscar) - Micro Chaussettes #2,2024-11-14T18:09:34Z,PT1H8M1S,3569045,148381,1806
YSjncCUUGQM,La daronne d'Amine est actrice ?,2024-11-04T09:08:36Z,PT44S,400254,31494,78
SUXEHsBd5zg,Ce pote,2024-11-01T18:47:54Z,PT58S,943729,71569,367
Acxn7x1kBok,72h enfermés dans les catacombes,2024-10-31T18:41:14Z,PT1H23M29S,8755709,409761,7674
